General,English Translation,পদ (Google API),Updated Human,পদ (Human),Barishal_bangla_speech,Sylhet_bangla_speech,Chittagong_bangla_speech,Mymensingh_bangla_speech,Noakhali_bangla_speech
মিথ্যে,lie,বিশেষ্য,বিশেষণ,বিশেষ্য,মিছা,মিছা,মিথ্যা,মিথ্যা,মিছা
মিনিটে,in minutes,অব্যয়,বিশেষ্য,বিশেষ্য,মিনিটে, মিনিটে  ,মিনিটে,মিনিটে,মিছা
মিনিটের,of minutes,অব্যয়,অব্যয়,বিশেষ্য,মিনিটর, মিনিটর  ,মিনিটর,মিনিটের,মিনিটে
মিনু,minu,বিশেষ্য,বিশেষ্য,বিশেষ্য,মিনু,মিনু,মিনু,মিনু,মিনিটের
মিরপুরে,In Mirpur,অব্যয়,বিশেষ্য,বিশেষ্য,মিরপুরে,মিরপুর-ও,মিরফুর,মিরপুরে,মিনু
মিল,matching,ক্রিয়া,বিশেষ্য,বিশেষ্য,মিল,মিল,মিল,মিল,মিরফুরে
মিলাতে,to meet,ক্রিয়া,ক্রিয়া,ক্রিয়া,মিলাইত,মিলাইতে,মিলাইত,মিলাইতে,মিল
মিলিয়ে,together,বিশেষণ,ক্রিয়া,ক্রিয়া,মিলাইয়া,মিলাইয়া,মিলিয়েরে,মিলায়া,মিলাইতাম
মিলে,together,ক্রিয়া,ক্রিয়া,ক্রিয়া,মিল্লা,মিলিয়া,মিলি,মিল্লা,মিলাই
মিশতাম,Mishtam,বিশেষ্য,ক্রিয়া,ক্রিয়া,মিশতাম,মিসতাম,মিশিতাম,মিশতাম,মিলি
মিষ্টি,sweet,বিশেষ্য,বিশেষণ,বিশেষণ,মিষ্টি,মিষ্টি,মিস্টি,মিষ্টি,মিশতাম
মিসেস,mrs,বিশেষ্য,বিশেষ্য,বিশেষ্য,মিসেস  ,বিয়াতি বেটি,মিসেস,মিসেস,মিষ্টি
মুক্তি,release,বিশেষ্য,বিশেষ্য,বিশেষ্য,মুক্তি,মুক্তি,মুক্তি,মুক্তি,মিসেস
মুক্তিযুদ্ধের,Liberation War,বিশেষ্য,বিশেষণ,বিশেষ্য,মুক্তিযুদ্ধের,মুক্তিযুদ্ধর,মুক্তিযুদ্ধর,মুক্তিযুদ্ধা,মুক্তি
মুক্তিযোদ্ধা,freedom fighter,বিশেষ্য,বিশেষ্য,বিশেষ্য,মুক্তিযোদ্ধা,মুক্তিযুদ্ধা,মুক্তিযুদ্দা,মুক্তিযোদ্ধা,মুক্তিযুদ্ধের
মুখ,face,বিশেষ্য,বিশেষ্য,বিশেষ্য,মুখ,মুখ,মুক,মুখ,মুক্তিযুদ্ধ
মুখে,in the mouth,অব্যয়,অব্যয়,বিশেষ্য,মোহে,মুখে,মুকে,মুহে,মুখ
মুখেই,in the mouth,অব্যয়,অব্যয়,বিশেষ্য,মোহে,মুখেউ,মুখোত,মুহেই,মুখে
মুখের,face,বিশেষ্য,বিশেষ্য,বিশেষ্য,মুখের,মুখের,মুকর,মুহের,মুখেই
মুখোমুখি,face to face,বিশেষ্য,বিশেষ্য,বিশেষণ,সামনাসামনি,সামনাসামনি ,সামনে,সমনে,মুকে
মুগ্ধ,fascinated,বিশেষণ,বিশেষণ,বিশেষণ,মুগ্ধ,মুগ্ধ,মুগ্ধ,মুগ্ধ,মুখোমুখি
মুগ্ধতায়,in fascination,অব্যয়,অব্যয়,বিশেষ্য,মুগ্ধতায়,মুগ্ধতাত,মুগ্ধতায়,মুগ্ধতায়,মুগ্ধ
মুছে,deleted,ক্রিয়া,বিশেষ্য,ক্রিয়া,মুইচ্ছা,মুছাইয়া,মুচি,মুইচ্ছা,মুগ্ধতায়
মুঠোফোনের,mobile phone,বিশেষ্য,বিশেষ্য,বিশেষ্য,মোবাইলর,মোবাইলর  ,মোবাইলর,মোবাইলে ,মুছি
মুরগি,the chicken,সর্বনাম,বিশেষ্য,বিশেষ্য,মুরহা,মুরগি,যাইবু,মুরগি,মোবাইল ফোনের
মুরগির,of chicken,অব্যয়,বিশেষণ,বিশেষ্য,মুরহার,মুরগির,কুরার,মুরগির,মুরগি
মুরগী,Chicken,বিশেষ্য,বিশেষণ,বিশেষ্য,মুরহা,মুরগি,কুরো,মুরগী,মুরগির
মূল্যবান,valuable,বিশেষণ,বিশেষ্য,বিশেষণ,দামী,দামী,মুল্যবান,দামি,মুরগি
মৃত্যুকে,to death,বিশেষ্য,বিশেষ্য,বিশেষ্য,মরন,মরণরে,মৃত্যুরে,মৃত্যুরে,প্রিয়
মৃত্যুর,of death,অব্যয়,বিশেষ্য,বিশেষ্য,মরার,মরার ,মরনের,মৃত্যুর,মৃত্যুরে
মৃত্যুসংবাদ,death news,বিশেষ্য,বিশেষ্য,বিশেষ্য,মরার খবর  ,মরার খবর,মরার খবর,মৃত্যুসংবাদ,মরণের
মে,may,বিশেষ্য,বিশেষ্য,বিশেষ্য,যে,যেন,যে,মে,মৃত্যুসংবাদ
মেঘনা,Meghna,বিশেষ্য,ক্রিয়া,বিশেষ্য,মেঘনা,মেঘনা,মেগনা,মেঘনা,মে
মেঘের,Clouds,বিশেষ্য,বিশেষ্য,বিশেষ্য,মেঘের,মেঘওর,মিয়ালার,মেঘের,মেঘনা
মেটাতে,to meet,ক্রিয়া,বিশেষণ,ক্রিয়া,পূরণ করতে  ,মিটাইতে,পুরাইতে,পূরণ করতে,মেঘের
মেটানোর,to satisfy,ক্রিয়া,ক্রিয়া,ক্রিয়া,মিডাইন্নার,মিটানির,মিটানির,মিটানোর,মিডাইতে 
মেঠো,metho,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাডির,মাঠ,মেঠো,মেঠো,মিটানোর
মেধাবী,genius,বিশেষ্য,বিশেষ্য,বিশেষণ,মেধাবী,মেধাবী,মেদাবি,মেধাবী,মেঠো
মেনে,obey,বিশেষ্য,বিশেষ্য,ক্রিয়া,মাইনা,মানিয়া,মানি,মানে,মেধাবি
মেনে,obey,বিশেষ্য,বিশেষ্য,ক্রিয়া,মাইন্না ,মানিয়া,মানি,মেনে,মানি
মেয়ে,girl,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়া,ফুড়ি,মাইয়্যা,ছেড়ি,মানি
মেয়েও,girl too,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়াও,ফুড়িও,মাইয়াফোয়াও,মাইয়াও,মাইয়া
মেয়েদের,girls,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়াগো,ফুড়িন্তর,মাইফোয়াঅক্কলর,ছেড়িরার,মাইয়া
মেয়ের,girl's,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়ার,পুরির,মাইফোয়ার,ছেড়ির,মাইয়াগো
মেয়েরা,the girls,সর্বনাম,ক্রিয়া,বিশেষ্য,মাইয়ারা,ফুড়িন্তে,মাইফোয়াওক্কল,ছেড়িরা,মাইয়গার
মেরে,kill,বিশেষ্য,ক্রিয়া,ক্রিয়া,মাইররা,মারিয়া,মারি,মাইরা,মাইয়ারা
মেললেই,match,বিশেষ্য,বিশেষ্য,ক্রিয়া,খুললেই,মেললেউ,মেলিলেই,মেললেই,মারি
মেলা,fair,বিশেষ্য,ক্রিয়া,বিশেষ্য,ঘুরছি,মেলা,মেলা,মেলা,মেললেই
মেলাতে,to match,ক্রিয়া,বিশেষ্য,ক্রিয়া,মিলাইতে,মিলাইতে,মিল্লাইতো,মিলাইতে,মেলা
মেসি,Messi,বিশেষ্য,বিশেষ্য,বিশেষ্য,মেসি,মেসি,মেসি,মেসি,মিলাইতে
মেসিকে,Messi,বিশেষ্য,বিশেষ্য,বিশেষ্য,মেসিরে,মেসিরে,মেসিরে,মেসিরে,মেসি
মেহমান,the guest,সর্বনাম,বিশেষ্য,বিশেষ্য,মেহমান,মেমান,মেহমান,মেমান,মেসিরে
মেয়ে,girl,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়া,ফড়ি,মাই,ছেড়ি,মেহমান
মেয়েকে,the girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়ারে,ফুরি ইগুরে,মাইফোয়ারে,ছেড়িরে,মাইয়া
মেয়েকে,the girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়ারে ,পুড়িরে,মাইয়েরে,মাইয়াকে,মাইয়া ইয়া
মেয়েটা,the girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়াডা,ফুরি ওগু,মাইয়া,ছেড়িডা,মাইয়ারে 
মেয়েটাকে,the girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইআউগ্গারে,ফুড়িটারে,মাইফোয়া,ছেড়িটারে,হেতি
মেয়েটি,The girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইআউগ্গা,ফুরিটা,মাইফোয়াইবা,ছেড়িটা,মাইয়া ইয়া
মেয়েটিকে,the girl,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়াউজ্ঞা,ফুরিরে,মাইফোয়া,মাইয়াডারে,মাইয়া গা
মেয়েটির,the girl's,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়াডার,ফুড়িটার,মাইফোয়াইবার,ছেড়িডার,মাইয়ারে
মেয়েদের,Girls,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়াগো,ফুড়িন্তর,মাইফোয়া,ছেড়িরার,মাইয়াগার
মেয়ের,girl's,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়ার,ফুড়িন্তর,মাইফোয়ার,মাইয়ার,মাইয়াগমাইয়াগো
মেয়েরা,Girls,বিশেষ্য,বিশেষ্য,বিশেষ্য,মাইয়ারা,ফড়িন্তর,মাইফোয়াঅক্কল,মাইয়ারা,মাইয়ার
মেয়েরাই,The girls,সর্বনাম,বিশেষ্য,বিশেষ্য,মাইয়ারাই,ফড়িন্তরা,মাইফোয়াঅক্কল,ছেইরাইনরাই,মাইয়ারা
মো,Md,বিশেষ্য,বিশেষ্য,অব্যয়,মো,মো,মো,মো,মাইয়ারা
মোকাবেলা,deal with,বিশেষ্য,বিশেষ্য,বিশেষ্য,মোকাবিলা,মোকাবিলা,মোকাবেলা,মোকাবেলা,মো
মোটা,Fat,বিশেষ্য,বিশেষ্য,বিশেষণ,মোডা,মোটা,মোটা,মোডা,মোকাবেলা
মোটামুটি,Roughly,বিশেষণ,বিশেষ্য,অব্যয়,একরকম  ,তুরাতুরা,ঠিকঠাক,চলে,মোডা
মোবাইল,mobile,বিশেষ্য,বিশেষ্য,বিশেষ্য,মোবাইল ,মোবালি,মোবাইল ,মোবাইল,মোডামুডি 
মোমবাতি,the candle,সর্বনাম,বিশেষ্য,বিশেষ্য,মোম,মোমবাত্তি,মোমবাত্তি,মোমবাতি,মোবাইল 
মোহনবাগানের,of Mohun Bagan,অব্যয়,বিশেষ্য,বিশেষ্য,মোহনবাগানের,মোহনবাগানওর,মোহনবাগানঅর,মোহনবাগানের,মোমবাত্তি
মৌসুমি,seasonal,বিশেষণ,বিশেষ্য,বিশেষণ,মৌসুমী,মৌসুমী,মৌসুমি,মৌসুমি,মোহনবাগানের
মৌসুমিকে,seasonal,বিশেষণ,বিশেষ্য,বিশেষ্য,মৌসুমীরে,মৌসুমীরে,মৌসুমিরে,মৌসুমিরে,মৌসুমী
মৌসুমী,seasonal,বিশেষণ,বিশেষ্য,বিশেষ্য,মৌসুমী,মৌসুমী,মৌসুমি,মৌসুমী,মৌসুমিরে
যখন,when,ক্রিয়া,বিশেষ্য,অব্যয়,যহন,যখন,যেত্তে,যখন,মৌসুমী
যখনই,whenever,বিশেষ্য,বিশেষ্য,অব্যয়,জহনই,যখনওয়,যেত্তে,যহনই,যেত্তে
যত,as much,অব্যয়,বিশেষ্য,বিশেষণ,যতো,যত,যিয়ান যত,যত,যেত্ত্বে
যতই,however much,বিশেষণ,বিশেষণ,অব্যয়,যতই  ,জতই,যেই ডইল্লা,যতই,যত
যতটুকু,as much as,বিশেষণ,বিশেষণ,বিশেষণ,যতটুকুন  ,জতখান,যেদ্দুর,যদ্দুর,যতই
যতদিন,as long as,বিশেষণ,বিশেষ্য,বিশেষণ,যতদিন,যতদিন,যতদিন,যতদিন,যদ্দুর
যতবার,as often as,বিশেষণ,বিশেষ্য,বিশেষণ,যতবার,যতবার,যতবার,যতবার,যতদিন
যতোটা,as much as,বিশেষণ,বিশেষ্য,বিশেষণ,যত,জতটা,যতখান,যতোটা,যতবার
যত্ন,care,বিশেষ্য,বিশেষ্য,বিশেষ্য,যত্ন,যত্ন,যত্ন,যত্ন,যত
যত্নশীল,caring,ক্রিয়া,বিশেষণ,বিশেষণ,যত্নশীল,যত্নলও,যত্নবান,যত্নশীল,যত্ন
যথাযথভাবে,appropriately,বিশেষণ,বিশেষণ,অব্যয়,যেমন করে দরকার  ,বালাটিকে,যথাযথভাবে,যথাযথভাবে,যত্নশীল
যথেষ্ট,enough,বিশেষণ,বিশেষণ,বিশেষণ,যথেষ্ট,যথেষ্ট,যথেষ্ট,যথেষ্ট,যথাযথভাবে
যদি,if,অব্যয়,অব্যয়,অব্যয়,যদি,যদি,যদি,যদি,যথেষ্ট
যদিও,Although,অব্যয়,অব্যয়,অব্যয়,যদিও,যদিও,যদিও,যদিও,যদি
যা,which,বিশেষ্য,সর্বনাম,সর্বনাম,যা,যা,যা,যা,যদিও
যাঁদের,Whose,ক্রিয়া,সর্বনাম,সর্বনাম,যাগো,জেরার,যেগুনর,যাদের,যা
যাঁর,whose,সর্বনাম,সর্বনাম,সর্বনাম,যার,যাঁর,যার,হের,যেতাগো
যাঁরা,who,সর্বনাম,সর্বনাম,সর্বনাম,জারা,যেগুইন,যেগুন,যারা,যেতার
যাই,let's go,বিশেষ্য,ক্রিয়া,ক্রিয়া,যাই,যাই,গরি,যাইগা,যেতারা 
যাইত,used to go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতে,যাইতা,যাইত,যাইত,যাই
যাইতে,to go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতে,যাওয়া,ফইত্তো,যাইতে,যাইত
যাইতো,let's go,বিশেষ্য,ক্রিয়া,ক্রিয়া,যাইতে,যাইতো,যাইতো,যাইতো,যান
যাইনি,didn't go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যায়নাই,গেছেনা,যায়নো,যায় নাই,যাইতো
যাইহোক,However,বিশেষণ,অব্যয়,অব্যয়,যাইহউক,যাইঅউক,যাইঅক,যাইহোক,যায়নো
যাও,go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাও,যাও,যো,যাও,যাইহোক
যাওয়া,To go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাওয়া,যাওয়া,জন,যাওয়া,যাও
যাওয়ার,To go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাওয়ার,যাওয়ার,যাইবর,যাওয়ার,যাওয়া
যাওয়ায়,by going,অব্যয়,ক্রিয়া,ক্রিয়া,গেলতাছে  ,যাওয়ায়,যনে,যাওয়ায়,যাইবার
যাক,Let's,ক্রিয়া,ক্রিয়া,অব্যয়,জাউক,যাউক,যক,যাক,যাওনে 
যাচ্ছি,going,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতেয়াছি,যাইয়ার,যাইর,যাইতাসি,যাক
যাচ্ছিল,was going,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতেয়াছেলে,যাইতো আছিল,যাইতেছিল,যাইতাসিল,যাইয়ের
যাচ্ছিলাম,was going,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতেছিলাম  ,যাওয়াত আছলাম,যাইর,যাইতেছিলাম,যার
যাচ্ছে,Going,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতেয়াছে,যার,যারগয়,যাইতাসে,যাচ্ছিলাম
যাচ্ছো,going,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতেয়াছো,যাইরায়,যর,যাইতাসো,যার
যাতায়াতের,of commuting,অব্যয়,বিশেষণ,বিশেষ্য,যাতায়াতের,যাওয়াআওয়ার,আসাযাইবার,যাতায়াতের,যাইতাছো
যাতে,So that,অব্যয়,অব্যয়,অব্যয়,যাতে,যাতে,যে,যাতে,যাতায়াতের
যাদের,Whose,ক্রিয়া,সর্বনাম,সর্বনাম,যাগো ,যারার,যারে,যাগোর,যাতে
যাদেরকে,to whom,সর্বনাম,সর্বনাম,সর্বনাম,যাগো,যারারে,যারারে,যারারে,যাগো 
যান,Go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যান,যাইন,যন,যান,যাদেরকে
যাব,I will go,সর্বনাম,ক্রিয়া,ক্রিয়া,যামু,যাইমু,যাইয়্যুম,যায়াম,যান
যাবতীয়,all,সর্বনাম,বিশেষণ,বিশেষণ,যাবতীয়,সব,বেয়াক,যাবতীয়,যামু
যাবার,to go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাওয়ার,যাওয়ার,যাইবার,যাওনের,যাবতীয়
যাবে,will go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাবা,যাইতায়নি,যাইবু,যাবে,যাইবার
যাবেন,go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইবো  ,যাইও,যাইয়েন,যাইবেন,যাবে
যাবো,I will go,সর্বনাম,ক্রিয়া,ক্রিয়া,যামু,যাইরাম,যাইয়্যুম,যামু,যাইবেন
যাবোই,I will go,সর্বনাম,ক্রিয়া,ক্রিয়া,যামুই,যাইমো,যাইয়ুম,যামুই,যাইব
যার,whose,সর্বনাম,সর্বনাম,সর্বনাম,যার,যেগুর,যার,যার,যামুই
যায়,Goes,বিশেষ্য,ক্রিয়া,ক্রিয়া,জায়,যায়,গই,যায়,যেতির
যুগ,era,বিশেষ্য,বিশেষ্য,বিশেষ্য,যুগ,যুগ,যুগ,যুগ,যায়
যুগের,era,বিশেষ্য,বিশেষণ,বিশেষ্য,যুগের,যুগর,যুগ অর,যুগের,যুগ
যে,that,অব্যয়,সর্বনাম,সর্বনাম,যে,যে,যে,যেয়,যুগের
যেই,the one,সর্বনাম,সর্বনাম,সর্বনাম,যেই,যে,যে,যেই,যে
যেইটা,which is,সর্বনাম,সর্বনাম,সর্বনাম,যেইডা,যা,যিয়ান,যেইডা,যেই
যেইটুকু,whatever,সর্বনাম,সর্বনাম,সর্বনাম,যেইডু,যতটুক,যদ্দুর,যেটটুকু,যেইটা
যেকোনো,any,সর্বনাম,বিশেষণ,বিশেষণ,যেকোনো,যেকুনো,যেকোন,যেকোনো,যেদ্দুর
যেটুকু,As much as,বিশেষণ,সর্বনাম,সর্বনাম,যেইকয়ডা,যেটুক,যা,যটটুকু,যেকোনো
যেত,would go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাই্তে,যাইতো,যাইতো,যাইত,যদ্দুর
যেতাম,I would go,সর্বনাম,ক্রিয়া,ক্রিয়া,যাইয়াতাম,যাইতাম,যাইতাম,যাইতাম,যাইত
যেতে,To go,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইতে,যাইতে,যাইত,যাইতে,যাইতাম
যেদিন,the day,সর্বনাম,সর্বনাম,বিশেষণ,যেদিন,যেদিন,যেদিন,যেদিন,যাইতো
যেন,as if,অব্যয়,অব্যয়,অব্যয়,যেন,যানি,হডে,যেন,যেইদিন
যেভাবে,how,অব্যয়,সর্বনাম,অব্যয়,যেমনে,যেলা,যেনে,যেমনে,যানি
যেমন,such as,বিশেষণ,অব্যয়,অব্যয়,যেমন,যেমলা,যেন,যেমন,যেন্নে
যেমনটা,as,অব্যয়,অব্যয়,অব্যয়,যেই রকম  ,যেলা,জেম্মনে,জেম্মে,যেমন
যেসব,which,সর্বনাম,সর্বনাম,সর্বনাম,যেইসব  ,যেতা, যেগুন,যেসব,যেরুমটা
যেহেতু,Since,অব্যয়,অব্যয়,অব্যয়,যেহেতু,যেতুক,যেহেতু,যেহেতু,যিগিন
যেয়ো,go on,ক্রিয়া,ক্রিয়া,ক্রিয়া,যাইয়ো,যাইয়ো,যাইয়্যু,যাইয়ো,যেহতু
যোগান,supply,বিশেষ্য,বিশেষ্য,বিশেষ্য,দ্যান,যোগাইন,দোন,যোগান,যাইয়ো
যোগায়,Adds,বিশেষ্য,ক্রিয়া,ক্রিয়া,দ্যায়,যোগায়,গরে,যোগায়,যোগান
যোগাযোগ,communication,বিশেষ্য,বিশেষ্য,বিশেষ্য,যোগাযোগ,যোগাযোগ,যোগাযোগ,যোগাযোগ,যোগায়
যোগ্য,qualified,বিশেষণ,বিশেষণ,বিশেষণ,যোগ্য,যোগ্য,যোগ্য,যোগ্য,যোগাযোগ
যৌথ,joint,বিশেষ্য,বিশেষণ,বিশেষণ,যৌথ,যৌথ,যৌত,যৌথ,যোগ্য
যৌবন,youth,বিশেষ্য,বিশেষ্য,বিশেষ্য,যৌবন,যৌবন,যৌবন,যৌবন,যৌথ
রইল,Remained,ক্রিয়া,ক্রিয়া,ক্রিয়া,রইল,রইলো,রইল,রইল,যৌবনে
রইলো,remained,ক্রিয়া,ক্রিয়া,ক্রিয়া,রইলে,রইলো,তাকিলো,রইলো,রইলো
রওনা,depart,বিশেষ্য,বিশেষ্য,ক্রিয়া,রওনা,রওয়ানা,রওনা,রওনা,থাইকল
রকম,Kind,ক্রিয়া,বিশেষ্য,বিশেষ্য,রহম,রকম,ডিল্লা,রকম,রওনা
রকমের,kind of,বিশেষ্য,বিশেষ্য,বিশেষ্য,রহম,লাকান,এক‌ডইল্লে,রহমের,রকম
রক্ত,the blood,সর্বনাম,বিশেষ্য,বিশেষ্য,রক্ত,রক্ত,রক্ত,রক্ত,রকমের
রঙ,the color,সর্বনাম,বিশেষ্য,বিশেষ্য,রং,রঙ,রং,রঙ,রক্ত
রঙটি,the color,সর্বনাম,বিশেষ্য,বিশেষ্য,রংডা,রঙটা,রংইবা,রঙডা,রং
রঙিন,colorful,বিশেষ্য,বিশেষণ,বিশেষণ,রংগিন,রঙিন,কালার,রঙিন,রঙগা
রঙের,of color,অব্যয়,বিশেষ্য,বিশেষ্য,রঙের,রঙের,রংঅর,রংগের,রঙিন
রঙয়ের,of color,অব্যয়,বিশেষণ,বিশেষ্য,রং,রংগর,রংওর,রংগের,রঙের
রবিবার,sunday,বিশেষ্য,বিশেষ্য,বিশেষ্য,রইব্বার,রইব্বার,রইবার,রবিবার,রং
রয়েছে,has,ক্রিয়া,ক্রিয়া,ক্রিয়া,আছে,আছে,আচে,আসে,রবিবারের
রসুন,garlic,বিশেষ্য,বিশেষ্য,বিশেষ্য,রসুন,রসুন,রসুন,রসুন,আছে
রহমতের,of mercy,অব্যয়,বিশেষ্য,বিশেষ্য,রহমতের,রহমতওর,রঅমোতর‍,রহমতের,রসুন
রাখছিলাম,I was keeping,সর্বনাম,ক্রিয়া,বিশেষ্য,রাখতেয়াছেলাম,রাখছিলাম,রাইক্কিলাম,রাখসিলাম,রহমতের
রাখতে,to keep,ক্রিয়া,ক্রিয়া,ক্রিয়া,রাখতে,রাকতে,রাহা,রাখতে,রাইখছিলাম
রাখতো,would keep,ক্রিয়া,ক্রিয়া,বিশেষ্য,রাখতে,রাখতো,রাখিতো,রাখতো,রাইখতো
রাখবে,will keep,ক্রিয়া,ক্রিয়া,ক্রিয়া,রাখবে,রাখবো,রাহিবো,রাখব,রাইকতো
রাখবেন,keep,ক্রিয়া,ক্রিয়া,বিশেষ্য,রাখবেন,রাখবা,রাকিবান,রাখবাইন,রাইখবো
রাখবো,will keep,ক্রিয়া,ক্রিয়া,ক্রিয়া,রাখমু,রাখমু,রাইক্কম,রাখবাম,রাখিয়েন
রাখলেই,If you keep,অব্যয়,ক্রিয়া,বিশেষ্য,থুইলেই,রাখলেউ,রাহিলেই,রাখলেই,রাখমু
রাখা,keep,ক্রিয়া,ক্রিয়া,বিশেষ্য,রাহা,রাখা,রাহা,রাহা,রাইখলেই
রাখার,to keep,ক্রিয়া,ক্রিয়া,বিশেষ্য,রাহার,রাখার,রাহিবার,রাখার,রান
রাখে,keeps,বিশেষ্য,ক্রিয়া,বিশেষ্য,রাহে,রাখছে,রাহে,রাহে,লনের
রাখেনি,did not keep,ক্রিয়া,ক্রিয়া,ক্রিয়া, রাহে নাই,রাখছইননা,রাহেনো,নাই,রায়
রাগ,Anger,বিশেষ্য,বিশেষ্য,বিশেষ্য,ত্যাজ,ইগুর,গোস্সা,রাগ,রায়নো
রাগ করে,get angry,ক্রিয়া,ক্রিয়া,বিশেষ্য,চেইত্যা,তুখুমকরি,রাগ গরি,রাগকরে,রাগ
রাগে,in anger,অব্যয়,ক্রিয়া,বিশেষ্য,চেইত্যা,গুসা খরি,রাগঅইয়েরে,রাগে,চেইত্যা
রাগেন,angry,বিশেষণ,ক্রিয়া,বিশেষ্য,রাগতাছে  ,রাগো তে,রাগেন,রাগতেছে,চেতি
রাজকুমারির,of the princess,অব্যয়,বিশেষণ,বিশেষ্য,রাজকুমারীর,রাজকুমারির,রাজকুমারির,রাজকুমারির,রাগেন
রাজধানী,capital,বিশেষ্য,বিশেষ্য,বিশেষ্য,রাজধানী,রাজধানী,রাযদানি,রাজধানী,রাজকুমারীর
রাজপুত্র-রাজকন্যা,prince-princess,বিশেষ্য,বিশেষ্য,বিশেষ্য,রাজার পোলা-মাইয়া,রাজপুত্র-রাজকন্যা,রাজা-রানী,রাজা-রাণী ,রাইজধানী
রাজি,agreed,ক্রিয়া,বিশেষণ,বিশেষ্য,রাজি,রাজি,রায,রাজি,রাজপুত্র-রাজকন্যা
রাত,the night,সর্বনাম,বিশেষ্য,বিশেষ্য,রাইত,রাইত,রাইত,রাত,রাজি
রাতে,At night,অব্যয়,অব্যয়,ক্রিয়া,রাইতে,রাত্রে,রাতিয়া,রাতে,রাইত
রাতের,of the night,অব্যয়,বিশেষণ,বিশেষ্য,রাইতের,রাইতর,রাইতর,রাতের,রাইচ্চা
রান্না,cooking,বিশেষ্য,বিশেষ্য,ক্রিয়া,কি,রান্দা,রাঁদিত,রান্না,রাইতকার
রান্নাঘরে,in the kitchen,অব্যয়,বিশেষ্য,বিশেষ্য,হোশ্যায়,রান্নাঘরো,ফাক গরন,পাকঘরে,রাইন্তো
রান্নার,cooking,বিশেষ্য,বিশেষণ,বিশেষ্য,রান্দার,রান্ধার,ফাকর,রান্নার,হাজ্ঞরেত্তে
রাশিয়ান,Russian,বিশেষণ,বিশেষণ,বিশেষ্য,রাশিয়ান,রাশিয়ান,রাশিয়ান,রাশিয়ান,রাইনবার
রাষ্ট্র,the state,সর্বনাম,বিশেষ্য,বিশেষ্য,রাষ্ট্র  ,রাষ্ট্র,রাষ্ট্র,রাষ্ট্র,রাশিয়ান
রাস্তা,road,বিশেষ্য,বিশেষ্য,বিশেষ্য,রাস্তা,রাস্তা,রাস্তা,রাস্তা,রাষ্ট্র
রাস্তায়,on the road,অব্যয়,অব্যয়,বিশেষ্য,রাস্তায়,রাস্তাত,রাস্তাত,রাস্তায়,রাস্তা
রাস্তার,Street,বিশেষ্য,বিশেষণ,বিশেষ্য,রাস্তার,রাস্তার,রাস্তার,রাস্তার,রাস্তাত
রাস্তায়,on the road,অব্যয়,অব্যয়,বিশেষ্য,রাস্তায়,রাস্তায়,রাস্তাত,রাস্তায়,রাস্তার
রাহাত,comfort,বিশেষ্য,বিশেষ্য,বিশেষ্য,রাহাত,রাহাত,রাহাত,রাহাত,রাস্তায়
রিক্সাতে,in a rickshaw,অব্যয়,অব্যয়,ক্রিয়া,রিক্সায়,রিক্সাত,রিস্কাত,রিক্সাতে,রাহাত
রিক্সায়,in a rickshaw,অব্যয়,অব্যয়,বিশেষ্য,রিসকায়,রিক্সা,রিকশা,রিক্সায়,রিক্সায়
রীতিমতো,as usual,অব্যয়,বিশেষণ,বিশেষ্য,এককালে,রীতিমতো,রিতিমত,রীতিমতো,রিক্সা
