Sylhet_bangla_speech,Noakhali_bangla_speech,Mymensingh_bangla_speech,Chittagong_bangla_speech,Barishal_bangla_speech
আম্মায় নানারে একটা চিঠি লেখছোইন,আম্মা নানারে এককান চিডি লিখছেন,হেয় তরে কিসু উপহার দিল না?,সে তোরে কিছু ঊফহার দিয়ে না?,মায় নানারে এউক্কা চিঠি ল্যাখছে
আমরার নাম ওর দরকার লাগে না,আর নামের হয়োজন অয় না,আম্মা নানারে একটা চিঠি লিখসেন,আম্মা নানার হাসে এক্কান চিঠি লিক্কে,মোগো নামের দরকার হয়না
আমরা এমনেউ পরিচয় রাখতাম ফারি,আমরা এন্নেই হরিচয় রাইখতাম হারি,আমরার নামের প্রয়োজন হয় না,আরার নামর ফ্রয়জন নো ফরে,মোরা এমনেই পরিচয় রাখতে পারি
তুমিতাইন রে একটা উপহার দিতাম চাই,তোয়ারে এককান উপহার দিতাম চাই,আমরা এমনিতেই পরিচয় রাখতাম পারি,আরা এনেই ফরিচয় রাখিত্তারি,তোমারে এউক্কা উপহার দেতে চাই
ওটা টেবিল ওর উফ্রে রাখা আছিল,হেটা টেবিলের উপরে রান আছিলো,তোমারে একটা উপহার দিতাম চাই,তোওয়ারে এক্কান উফহার দিতাম চাই,হেইডা টেবিলের উপরে রাহা আল্লেহ
আমার প্রিয় একগু বই হারাই গেছে,আর হিরিয় ওকগা বই আজি গেছে,হেইডা টেবিলের উপরে রাখা আসিল,ইয়ান টেবিলর উওরদ্দি রাহা আসিল,মোর প্রিয় এউক্কা বই হারান গ্যাছে
ফোন করিয়া জানাইলো,হোন করি জানাইছে,আমার প্রিয় একটা বই হারায়া গেসে,আর ফ্রিও এক্কান বই আসিল,ফোন কইররা জানাইছে
তার প্রিয় একগু বই হারাই গেছে,হেতার হিরিয় ওকগা বই আজি গেছে,ফোন কইরা জানাইল,ফোন গরি জানাল,হ্যার প্রিয় এউক্কা বই হারান গ্যাছে
কেটায় নিছে?,কুনগা নিয়ছে ?,হের প্রিয় একটা বই হারায়া গেসে,তার ফ্রিও এক্কান বই আরাই গিয়ি,কেডা নেছে?
ওউ ব্যাপারও শিওর নায়,হেডার ব্যাপারে নিশ্চিত ন,কেডা নিসে ?,হোনে লইয়ে?,হেই ব্যাপারে শিউর না
হে লাগের পড়ার লাগি ওউ নিছে,হে হয়তো হড়ার লাইয়ে নিছে,ওই ব্যাপারে নিশ্চিত না,সে এই ব্যফারত নিশ্চিত নো,হ্যায় হয়তো পড়ার লইজ্ঞাই নেছে
কুন্তাত শিওর না ওইয়া কেউরে দোষ দেওয়া ঠিক নায়,কোনো ব্যাপারে নিশ্চিত না অই কাউরে দোষ দেওন ঠিক ন,হেয় হয়তো পড়ার লাইজ্ঞাই নিসে,সে হয়ত ফোড়িবেল্লাই লইয়ে,কোনো ব্যাপারে শিউর না হইয়া কেউরে দোষ দেওয়া ঠিক না
"যে নিছে, হে তো পড়ার লাগিও নিতো ফারে","যে নিছে, হে হয়তো হড়ার লাইয়ে নিছে",কোন ব্যাপারে নিশ্চিত না হয়া কাউরে দোষ দেওয়ন ঠিক না,হোনো ব্যফারত নিশ্চিত নো অইয়েরে হনিক্কেরে দোষ দন ঠিক নো,যে নেছে হ্যায় হয়তো পড়ার লইজ্ঞাই নেছে
বই ওগু ফাওয়া যায় কি না,বইকান হাওন যায় কি না,"যে নিসে, হেয় হয়তো পড়ার লাইজ্ঞাই নিসে",যে লইয়ে সে হয়তো ফইবেল্লাই লইয়ে,বইডা পাওন যায় কিনা
বই ওগু ফাওয়া গেছে,বইকান হাওয়া গেছে,বইটা পাওয়ন যায় কি না,বই ইয়েন ফোন যাইবো না?,বইডা পাওন গ্যাছে
বাবায় বই ওগু বুকশেলফও তুলিয়া রাখছিলা,আব্বা বইকান বুকশেলফে তুলি রাখছিলেন,বইটা পাওয়ন গেসে,বই ইহেন ফোন গিয়ে,আব্বা বইডা বুকশেলফে উডাইয়া রাখছেলে
তাইন বুঝতে ফারছিলা না,হেতনে বুইঝতেও হারেনো,বাবা বইডা বুকশেলফে তুইল্লা রাখসিলেন,বাবা বই ইবা বুক শেল্ফত তুলি রাইক্কিলো,হ্যায়ও বোঝতে পারে নাই
আর পারুল এও না বুঝিয়া অইন্যের দোষ দিতো আছিল,আর হারুলও না বুঝি অন্যগো দোষ দিতেআছিলো,হেয় বুঝতেও পারে নাই,তিনি বুঝিত নো ফারে,আর পারুলও না বুইঝঝা অন্যগো দোষ দেতেয়াছেলে
তুমিতাইন আমারে দোষ দিরায় কিতার লাগি?,তুমি আরে দোষ দিতেছো কিল্লেই ?,আর পারলও না বুঝে অন্যরারে দোষ দিতাসিল,আর ফারুলও নো বুঝি আন্যদের দোষ দিয়ি,তুমি মোরে দোষ দেতেয়াছো কির লইজ্ঞা?
হে রাইত ওর ট্রেইনে রাজশাহী তনে রওয়ানা দিছিল,হেতে রাতের ট্রেইনে রাজশাহী তুন রওনা দিছিলো,তুমি আমারে দোষ দিতাসো কেরে ?,তুই আরে দোষ দিও দে কিল্লাই?,হ্যায় রাইতের টেরেনে রাজশাহী গোনে রওনা দেল্লেহ
ওউ ফয়লা হে ঢাকাত আইছে,এই হথম হেতে ঢাক আইছে,হেয় রাইতের ট্রেইনে রাজশাহী থাইক্কা রওনা দিসিল,সে লাতিয়ার ট্রেনর রাজশাহীত্তুন রওনা দিয়ি,এই পোরথোম হ্যায় ঢাহায় আইছে
বাসাত যাওয়ার সময় ফ্লাইওভার দেখিয়া হাবিব অবাক ওই গেছে,বাসায় যাওনের হথে ফ্লাইওভার ছাই হাবিব অবাক অই গেছে,এই প্রথম হেয় ঢাকাত আইসে,এই ফ্রম সে ঢাহাত আইসসে,বাড়ি যাওয়ার পথে ফেলাইওভার দেইকখা হাবিব অটাশ হইয়া গ্যাছে
ইগুরে তার দুই তালা রাস্তা লাগছে,এইডা হেতার মনে অইলো দোতলা রাস্তা,বাসাত যাওনের পথে ফ্লাইওভার দেইক্ষা হাবিব অবাক হয়া গেল,বাসায় যোনের ফোথত ফ্লাইওভার সাইয়েরে হাবিব অবাক অই গিল,এইডারে হ্যার মনে হইছে দোতালা রাস্তা
রাস্তার ধারো একটা ফুল ওর দোকান,রাস্তার হাশে ওকগা হুলের দোয়ান,এইটারে হের মনে হইলো দুইতালা রাস্তা,ইয়ানোরে দোতালা রাস্তা,রাস্তার ধারে এউক্কা ফুলের দোকান
বউত জাত ওর ফুল থারিয়া করি সাজানি আছে,মেলা ধরণের হুল থরে থরে হাজানো আছে,রাস্তার পাশে একটা ফুলের দোকান,রাস্তার ডাহদ্দি এক্কান ফুলোর দোহান,নানা রহমের ফুল থরে থরে সাজাইন্না রইছে
ওগুর ঠিক লগেউ একটা ফল ওর দোকান,হেটার ঠিক হাশেই ওকগা হলের দোয়ান,নানা রকম ফুল থরে থরে সাজানো আসে,নানা ডইল্লে ফুল ঝাকত ঝাকত সাজাই রাইক্কে,হ্যার ঠিক পাশেই এউক্কা ফলের দোকান
ওখান তিনে বড় বইনে কিছু সফরি কিনছিল,হিয়ান তুন বড্ডা আপা কিছু হেয়ারা কিনলো,তার ঠিক পাশেই একটা ফলের দোকান,এয়ার টগিক ডাহদ্দি এক্কান ফলের দোহান,হেইহানে গোনে বড় বুইন গোডাচাইরে হোবরি কেনছে
হকল ওর লগে বালা মন্দ মাত ওইলো,বেকের লগে কুশল বিনিময় অইলো,ওইহান থাইক্কা বড় বইন কিসু পেয়ারা কিনল,ইয়ানত্তুন ভোইন ডর ইবা কিছু ফল কিন্নে,হগলডির লগে কথাবার্তা হইলে
টেবিলও নাস্তা দেওয়া আছিল,টেবিলে নাশতা দেওন আছিলো,বেহের লগে কুশল বিনিময় হইল,বেয়াক্কুনের ফোয়ারিত হতাবাত্রা হইয়ে,টেবিলে নাস্তা দেওয়া আল্লেহ
হাত মুখ ধইয়া হে নাস্তা খানিত বইলো,হাত-মুক ধুই হে নাশতা কইরতে বইছে,টেবিলে নাশতা দেওয়া আসিল,টেবিলত নাস্তা দি রাইক্কে,হাত-মুখ ধুইয়া হ্যায় নাস্তা করতে বইছে
হদিন বাংলাদেশ দল ওর ক্রিকেট খেলা আছিল,হেদিন আছিলো বাংলাদেশ দলের ক্রিকেট খেলা,হাত-মুখ ধুয়া হেয় নাশতা করতে বইল,আত মুখ দুইয়েরে হাইবেল্লাই বইসসে,হেইদিন আল্লেহ বাংলাদেশ দলের কিরকেট খ্যালা
খানি শেষ কইরাউ টিভির ধারো গিয়া বইলো,খাওয়া শেষ করিয়ে টেলিভিশনের সামনে যাই বইলো,হেইদিন আসিল বাংলাদেশ দলের ক্রিকেট খেলা,সেইদিন আসিল বাংলাদেশর ক্রিকেট হেলা,খাওন শ্যাষ কইররাই টিভি'র সামনে বইছে
সবতা মিলাইয়া তার খুব আনন্দ ওইতো আছিল,বেগগিন মিলাই হেতার খুব আনন্দ হইতেছিলো,খাওয়ন শেষ কইরাই টেলিভিশনের সামনে গিয়া বইল,হানা শেষ গরিয়েরে টেলিভিশন এর সামনে গিয়েরে বইসসে,বেবাক মিলাইয়া হ্যার বেমালা মজা হইতেয়াছেলে
ফুরি এগুয়ে কিতা করছে জানো নি,মাইয়া কী কাণ্ড কইরছে জানো?,সব মিলায়া হের খুব আনন্দ হইতাসিল,বেয়াক্কুন মিলিয়েরে আনন্দ অর,মাইয়া কি আকাম করছে জানো?
সোনার চুড়ি ওগু ভাঙিয়া দুই টুকরা করছে,সোনার চুড়িকান ভাঙি দুই-টুকরা কইরছে,মাইয়া কী কাণ্ড করসে জানো?,মাইয়াফোয়া ইবা কি হান্ড গরের জানোনা?,সোনার চুরি ভাইঙ্গা দুইটুকরা করছে
ইচ্ছা করিয়া ভাঙছে৷ নি?,ইচ্ছা করি ভাইঙছে নাকি?,সোনার চুড়িটা ভাইংগা দুই-টুকরা করসে,সোনার চুরিয়ান ভাঙিয়েরে দুই ভাগ গরি ফেইল্লে,ইচ্ছা কইররা ভাঙছি ত্যায়?
পা পিছলিয়া পড়ি হেছি তে কিতা করতাম?,হা হিছলি হড়ি গেলাম তো কীরতাম?,ইচ্ছা কইরা ভাংসি নাকি?,ইচ্ছা গরিয়েরে ভাইঙেনা?,পাছার খাইয়া পইররা গ্যালাম ত্যায় কি করমু?
আমি যে দুখ ফাইছি ওগু কিতা কুন্তা নায়?,আর যে দুক্কু লাইগলো হেইডা বুঝি কিছু ন,পা পিসলায়া পইরা গেলাম তো কিতা করবাম?,ফা ফিচ্ছিল হাইয়েরে ফোরি গেইলাম তো আই কিত্তাম?,মোর যে ব্যথা লাগছে হেইয়া ভুঝি কিছু না
ফুরিরে পড়তে দিছলা নি?,মাইয়ারে হইড়তে দিছিলেন,আমার যে ব্যথা লাগল হেইটা বুঝি কিসু না,আর যে ব্যথা লাইজ্ঞে ইয়ান কি বুঝি কিচ্ছু নও,মাইয়ারে পরতে দেল্লাহম
আমার নানা সুস্থ,আর নানা সুস্থ,মাইয়ারে পরতে দিসিলেন,মাইয়াফোয়ারে ফইত্তে দিয়িলেন,মোর নানা সুস্থ
রোগীর হাসপাতাল-ও ভর্তি ওয়া লাগবো,রোগীরে হাসপাতালে ভর্তি অইতে অইবো,আমার নানা সুস্থ,আর নানা সুস্থ,রুগীরে হাসপাতালে ভর্তি হইতে হইবে
ওতো বড় হাসপাতাল আমি আগে দেখছি না,এদ্দুরার জাগা হাসপাতাল আই আগে দেইনো,রোগীরে হাসপাতালে ভর্তি হইতে হইব,রোগীরে হাসফাতালত ভত্তি গরন ফরিব,এত্তোর হাসপাতাল মুই আগে দেহিনাই
আমারে দেখিয়া খুব খুশি ওইলো,আরে দেই খুব খুশি অইলো,এত বড়ো হাসপাতাল আমি আগে দেহি নাই,এইল্লে ডর হাসফাতাল আই হোন সমত নো দেহি,মোরে দেইখ্যা বেমালা খুশি হইছে
আমি আরেকগুর লগে মাতিয়ার,আই অন্যের লগে কতা কই,আমারে দেইক্ষা মেলা খুশি হইলো,আরে দেহিয়েরে খুব খুশি অইয়ে,মুই অন্যের লগে কথা কই
তাইন বিদেশ তনে আইছোইন,হেতোনে বিদেশ তুন আইছেন,আমি অন্যের লগে কথা কই,আই অন্যের ফোয়ারিত হতা হইর,হ্যায় বিদেশে গোনে আইছে
তাইন কিতা লইয়া মাতাত আছলা?,হেতনে কোন বিষয় লই কতা কইছিলেন?,হেয় বিদেশ থাইক্কা আইসেন,তিনি বিদেশেত্তুন আইসসে,হ্যায় কোন বিষয় লইয়া কথা কইতেয়াছেলে?
চলো তে ঐতিহাসিক জেগাত ঘুরাত যাই,চলো ঐতিহাসিক জায়গাত ঘুইরতে যাইয়ুম,হেয় কোন বিষয় নিয়া কথা কইতাসিলেন?,তিনি হোন বিষয় লইয়েরে হথা হন্না?,লও ঐতিহাসিক জায়গায় ঘোরতে যামু
ঠিক ওইলো হকলে মিলিয়া যাইমু,ঠিক করন অইলো বেকে মিলি যাইয়ুম,চল ঐতিহাসিক জায়গাইয় ঘুরতে যায়াম,চলো ঐতিহাসিক জায়গাত গুরিবেল্লাই যাইয়ুম,ঠিক করা হইছে হগলডি মিললা যামু
আমরার যাওয়ার কথা হুনিয়া হেও যাইতো চাইলো,আঙ্গো যানের কতা হুনি হেতেও যাইতে চাইল,ঠিক করা হইলো বেহেই মিল্লা যায়াম,ঠিক গইজ্জে বেয়াক্কুন মিলিয়েরে যাইয়ুম,মোগো যাওনের কথা হুইন্না হ্যায়ও যাইতে চাইছে
সব মাইনষের ভাষা এক লাকান নায়,বেক মাইনষের ভাষা এক রকম ন,আমরার যাওনের কথা হুইন্না হেও যাইতে চাইল,আরার যাইবের হতা ফুনিয়েরে সেও যাইবেল্লাই চাইয়ে,হগল মানের ভাষা এক রহম না
হে মাঠ-ও আইছে না,হেতে মাডে আইয়েনো,বেগ মানুষের ভাষা এক রহমের না,বেয়াক মানুষের ভাষা এক ডইল্লে নো,হ্যায় মাডে আয়নাই
জরুরি সভা ওইবো,জরুরি সভা অইবো,হেয় মাঠে আয় নাই,সে মাঠত নো আইয়ে,জরুলি সভা হইবে
হাসপাতালও আমি আগে গেছি না,হাসপাতালে আই আগে যাইনো,জরুরি সভা হইব,জরুরি সভা অইব,হাসপাতালে মুই আগে যাই নাই
আমি অইন্যের লগে মাতি না,আই অন্যের লগে কতা কই না,হাসপাতালে আমি আগে যাই নাই,হাসফাতালত আগে আই নো যাই,মুই অন্যের লগে কথা কই না
তাইন কিতা বিদেশ তনে আইছোইন নি?,হেতনে কি বিদেশ তুন আইছেন,আমি অন্যের সাথে কথা কই না,আই অন্যের ফোয়ারিত হতা নো হই,হ্যায় কি বিদেশে গোনে আইছে
সব ওর ভাষা এক লাকান নায়,বেকের ভাষা এক রকমের ন,হেয় কিতা বিদেশ থাইক্কা আইসেন,তিনি কি বিদেশেত্তুন আইসসে না,হগলডির ভাষা এক রহমের না
তার ধারো বউত টেখা আছে,হেতার কাছে মেলা টেয়া আছে,বেহের ভাষা এক রহমের না,বেয়াক ভাষা এক ডইল্লে নো,হ্যার ধারে বেমালা টাহা আছে
কয়েকদিন উবাও একটু,কোগা দিন অপেক্ষা করো,হের কাসে মেলা টেহা আসে,তার হাসে বহুত টেয়া আসে,কয়ডা দিন অপেক্ষা কর
আমার বাসার ওবায় রাস্তার ধারো একটা ফুল ওর দোকান,আর বাসার লগে রাস্তার হাশে ওকগা হুলের দোয়ান,কয়েক দিন অপেক্ষা কর,হয়েক্কান দিন অফেক্ষা গরন,মোর বাড়ির ধারে রাস্তার পাশে এউক্কা ফুলের দোহান
তার ধারো বউত দেশ ওর টেখা আছে,হেতার কাছে মেলা দেশের টেয়া আছে,আমার বাসার কাসে রাস্তার পাশে একটা ফুলের দোহান,আর বাসার ডাহরদি এক্কান ফুলোর দোহান,হ্যার ধারে ম্যালা দেশের টাহা আছে
আমি তুমিতাইন রে একটা উপহার দিতাম চাই,আই তোয়ারে ওকগা উপহার দিতাম চাই,হের কাসে মেলা দেশের টেহা আসে,তাহ হাসত বহুত দেশর টেয়া আসে,মুই তোমারে এউক্কা উপহার দেতে চাই
হকলতা হুনিয়াউ আমি কইলাম,বেগগিন হুনি আই কইলাম,আমি তোমারে একটা উপহার দিতাম চাই,আই তোওয়ারে এক্কান উফহার দিতাম চাইর,বেবাক হুইননা মুই কইলাম
কয়েকদিন উবাইয়া দেখো,কোগাদিন অপেক্ষা করি চাও,সব হুইন্না আমি কইলাম,বেয়াক্কুন ফুনিয়েরে আই হইলাম,কয়ডা দিন অপেক্ষা কইররা দ্যাহো
"কিছুদিন বাদে পারুলে নিজেউ জানাইলো, বই ওগু ফাওয়া গেছে","কিছু দিন হরে হারুল নিজেই জানাইছে, বইকান হাওন গেছে",কয়েক দিন অপেক্ষা কইরা দেহো,হয়েক্কান দিন অফেক্ষা গরি দেহো,কয়ডা দিন পর পারুল নিজেই কইলো বইডা পাওয়া গ্যাছে
একগু বই নিয়া ওতো ঘটনা ঘটি যাইবো,ওকগা বই লই এতাগাইন ঘটনা ঘডি যাইবো,"কিসু দিন বাদে পারুল নিজেই জানাইল, বইটা পাওয়ন গেসে","কিছু দিন ফর পারুল নিজেই জানাইয়ে, বইয়ান ফোন গিয়ে",এউক্কা বই লইয়া এত ঘটনা ঘইটটা যাইবে
হে না বুঝিয়াউ অইন্যরে দোষ দিতো আছলো!,হিগা না বুঝি অন্যগো দোষ দিতেআছিলো,এক বই লয়া এত ঘটনা ঘইটটা যাইব,এক্কান বই লইয়েরে এত ঘটনা ঘটি যাইব,হ্যায় না বুইজঝা অন্যডির দোষ দেতেয়াছেলে
কমলাপুর রেলস্টেশন তনে বইন ওর বাসাত আইছি,কমলাহুর রেলস্টেশন তুন বোইনের বাসাত যাইতেছি,হেয় না বুইজ্ঝা অন্যদের দোষ দিতাসিল,সে নো বিঝুয়েরে অন্যদের দোষ দিয়িল,কমলাপুর রেল এস্টেশন গোনে বুইনের বাড়ি যাইতেয়াছি
বইন ওর বাসার ওবায় রাস্তার ধারো একটা ফুলের দোকান,বোইনের বাসার লগে রাস্তার হাশে ওকগা হুলের দোয়ান,কমলাপুর রেলস্টেশন থাইক্কা বইনের বাসায় যাইতাসি,হমলাফুর রেল স্টেশনত্তুন ভোইনর বাসাত যাইর,বুইনের বাড়ির ধারে রাস্তার পাশে এউক্কা ফুলের দোহান
"রজনীগন্ধা, গোলাপ, গাঁদা লগে আরো বউত জাত ওর ফুল আছে দোকান-ও","রজনীগন্ধা, গোলাপ, গাঁদা-সহ মেলা রকম হুল আছে দোয়ানো ",বইনের বাসার কাসে রাস্তার পাশে একটা ফুলের দোহান,ভোইনর বাসার হাসদ্দি এক্কান ফুলোর দোহান আসে,"রজনীগন্ধা, গোলাপ, গেন্দাসহ ম্যালা রহমের ফুল আছে দোহানে"
বড় বইন ওর লাগি কিছু সফরি কিনলো,বড্ডা আপার লাই কিছু হেয়ারা কিনলো,"রজনীগন্ধা, গোলাপ, গাঁদা-সহ নানা রহম ফুল আসে দোহানে ",রজনীগন্ধা গোলাপ গাঁদাসহ আরো ফুল আসে দোহানত,বড় বুইনের লইজ্ঞা কয়ডা হোবরি কেনছে
বড় বইনে কিছু সফরি কিনলো,বড্ডা আপা কিছু হেয়ারা কিনলো,বড় বইনের লাইজ্ঞা কিসু পেয়ারা কিনল,ডর ভোইনর লাই কিছু ফেয়ারা কিন্নে,বড় বুইন কয়ডা হোবরি কেনছে
তে আমি কিতা করতাম?,তো আই কিরতাম?,বড় বইন কিসু পেয়ারা কিনল,ডর ভোইন কিছু ফেয়ারা কিন্নে,ত্যায় মুই কি করমু?
সমান দুইটা টুকরা ওই গেছে,সমান দুগা টুকরা অই গেছে,তো আমি কিতা করবাম?,তো আই কিত্তাম?,সমান দুজ্ঞা টুকরা হইয়া গ্যাছে
দুই টুকরা ওইলো কিলা?,দুই-টুকরা অইলো কী করি?,সমান দুইটা টুকরা হয়া গেসে,সমান দুইয়ান টুকরা অই গিয়ে,দুইটুকরা হইলে ক্যামনে?
ওগু আমরার বাড়ি,এটা আঙ্গো বাড়ি,দুই টুকরা হইলো কী কইরা?,দুইয়ান অইলো কেনে?,এইজ্ঞা মোগো বাড়ি
ওউ বাড়ি ওগু আমরার,এই বাড়িকান আঙ্গো,এইডা আমরার বাড়ি,ইয়ান আরার বাড়ি,এই বাড়িউজ্ঞা মোগো
ফয়লা বালিশ ওর তলা ওগু হাতাইলা,প্রথমে বালিশের তলাকান হাতড়াইলেন,এই বাড়িটা আমরার,এই বাড়িয়ান আরার,পোরথোমে বালিশের তলে হাতাইছে
ওতো বালা লাগে তার,এত সুন্দর লাগে হের,প্রথমে বালিশের তলাডা হাতড়াইসেন,ফ্রথম বালিশর তলা হাতদিয়ি,এত্তো সুন্দর লাগে হ্যার
খালি চাই থাকতেউ ইচ্ছা করে,শুধু রেনি থাইকতে মন চায়,এত সুন্দর লাগে হের,এত সুন্দর লার তার,খালি চাইয়া থাকতে ইচ্ছা করে
তারার বাগান অইন্যরার বাগান ওর লাকান নায়,হেতাগো বাগান অন্যগো বাগানের লাইন ন,খালি তাকায়া থাকতে ইচ্ছা করে,শুধু সাইতাম মনত সার,হ্যাগো বাগান অন্যগো বাগানের নাহান না
যে বড় বড় গাছ,বিশাল বড্ডা বড্ডা গাছ,হেরার বাগান অন্যরার বাগানের মত না,তারার বাগান অন্য মাইনশের বাগানর ডইল্লে,বিশাল এত্তোর এত্তোর গাছ
পুতুল ওর ওতার লাগিউ খুব মন খারাপ,হুতুলের এডার লাইয়ে খুব মন খারাপ,বিশাল বড় বড় গাছ,বিশাল ডর ডর গাস,পুতুলের এইয়ার লইজ্ঞাই একছের মন খারাপ
গাছ ওকলতোর দিকে চাইলেউ তাইর কান্দা আই যায়,গাছগুনের দিকে রেইনলেই হিগার কান্না হাই যায়,পুতুলের এই লাইজ্ঞাই মেলা মন খারাপ,পুতুলর এই হারনেল্লাই মন্নান হারাফ,গাছগুলানের দিক চাইলেই হ্যার কান্দোন পাইয়া যায়
ছোটরা ওতো কাম করে যেতক বড়োরার পছন্দ নায়,ছোডোরা এমন অনেক কাম করে জিগিন মুরগবিরা হছন্দ করে না,গাছগুলার দিকে তাকাইলেই হের কান্দন পায়া যায়,গাছ উনের মিক্কে সাইলে তার হান্না আইয়ে,গুরাগারারা ম্যালা কাম করে যেইডি বড়রা পছন্দ করেনা
ইতা বাদেও আরেকটা কারণ আছে,হেইডাছাড়াও আরেককান কারণ আছে,ছোটোরা মেলা কাম কইরা যেগুলা বড়রা পসন্দ করে না,ছোতরা বহুত হাম গরে যিন ডর তারা ফসন্দ নো গরে,হেইয়াছাড়াও আরেউক্কা কারণও আছে
ঘর ওর মাঝে আলো বাতাস ওতো ঢুকতো ফারে না,ঘরে আলো-হাওয়া হিরুম ঢুইকতে হারে না,তাছাড়া আরেকটা কারণও আসে,ইয়াসাড়া আরেক্কান হারন আসে,ঘরে আলো বাতাস হেইরহম ঢোকতে পারে না
আমরার চলতোউ ফারে না,আঙ্গো চইলতেই হারে না,ঘরে আলো-হাওয়া তেমন ঢুকতে পারে না,গরত আলো হাওয়া এইল্লে ডুকিন্নো ফারে,মোগো চলতেই পারে না
হাত তালি দিয়া দিয়া কিতা পড়া যায় নি?,আতে তালি দি দি কি হড়া যায়?,আমারার চলতেই পারে না,আরার নো সলের,হাত তালি দিয়া কি পড়া যায়?
কোন যাওয়ার রাস্তা,কোনানো যাওনের রাস্তা,হাতে তালি দিয়া দিয়া কি পড়ন যায়?,আতত তালি মারিয়েরে ফড়া যায় না?,কোনহানে যাওনের রাস্তা নাই
ওনো বুলে একটা শিশুপার্ক ওইতো,ইয়ানো বেলে ওকগা শিশুপার্ক অইবো,কোথাও যাওনের রাস্তা,হডে যাইবের রাস্তা,এইহানে বোলে এউক্কা শিশুপার্ক হইবে?
তোমরার মাত হুনিয়া হাসছি,তোমাগো কতা হুনি আইসছি,এইহানে নাকি একটা শিশুপার্ক হইব,ইয়ানত কি এক্কান শিশু ফারক আসে না,তোমাগো কথা হুইননা হাসতেয়াছি
মিছা মাত মাতিও না,মিছা কতা কইছ না,তোমাদের কথা হুইন্না হাসছি,তোওয়ারার হতা ফুনিয়েরে আসির,মিছা কথা কইও না
যে অত্যাচার কররো,যিগা অত্যাচার করে,মিথ্যা কথা কইয়ো না,মিসা হতা নো হইয়ো,যেই অত্যাচার করে
মাঠ ওর দুই ধারো সবুজ ধানক্ষেত,মেঠো হথের দুহাশে সবুজ ধানখেত,যে অত্যাচার করে,যে আত্যসার গরে,মাডির রাস্তার দুইপাশে কোলা
আখতা করি সামনের ফুরিগু থমকি গেছে,হঠাৎ সামনের মাইয়াগা থমকি খাড়াইলো,মেঠো পথের দুইপাশে সবুজ ধানখেত,মেঠো ফতর দুইপাসদ্দি সবুজ ধান কেত,হুটকইররা সামনের মাইয়াউজ্ঞা থমকাইয়া খাড়াইছে
ধানক্ষেত ফার ওইতেউ একগু বড় পুকরি,ধানখেত হার অইতেই ওকগা বড্ডা হুইর,হঠাৎ সামনের মাইয়াডা থমকায়া দাঁড়াইল,হঠাৎ সামনের মাইয়াফোয়া ইবা তিয়াই গেইল,কোলা পার হইয়াই এইক্কা বড় পুহুইর
চউখ ওর আড়াল ওই গেছে,চোখের আড়াল অই গেছে,ধানখেত পার হইতেই একটা বড় পুকুর,ধানকেত ফার অইয়েরে এক্কান ডোর ফুকুর,চোখের বায়ড়ায় গ্যাছে
হে আমার চউখ ওর আড়াল ওই গেছে,হেতে আর চোখের আড়াল অই গেছে,চোখের আড়াল হয়া গেসে,চোকর আরাল অই গিয়ি,হ্যায় মোর চোখের বায়ড়ায় গ্যাছে
হনোর পানি টলটলে,হিয়ানকার হানি টলটলে,হেয় আমার চোখের আড়াল হয়া গেসে,সে আর চোকর আরাল অই গিয়ি,হেইহানের পানি টলটইল্লা
পুকরির কান্দাত একগু বড় আমগাছ,হুইরের হাড়ে ওকগা বড্ডা আমগাছ,ওইহানকার পানি টলটলে,ইয়ানোর ফানি টলটল,পুহুইরের ধারে এউক্কা বড় আমগাছ
"আমার লাগের, এবার বউত আম ধরবো","আর মনে অইতেছে, এবার অনেক আম ধইরবো",পুকুরের ধারে একটা বড় আমগাছ,ফুরুরর ডাহদ্দি এক্কান ডর আমগাছ,"মোর মনে হইতেয়াছে, এইফির বেমালা আম ধরবে"
আমি আম খাইতে বালা ফাই,আই আম খাইতে ভালাবাসি,"আমার মনে হইতাসে, এবার অনেক আম ধরব","আত্তুন মনত অরদে, এবারত বহুত আম দরিব",মুই আম খাইতে ভালোবাসি
ওউ আম গাছ ওর দিকে চাই রইছলাম,হেই আমগাছের দিকে রেনি আছিলাম,আমি আম খাইতে ভালবাসি,আই আম হাইতাম ভালোবাসি,হেই আমগাছের দিক চাইয়া আল্লাহম
আম গাছ ওর বায় চাইয়া এক ফুরিয়ে কইলো,আমগাছের দিকে ছাই ওকগা মাইয়া কইলো,হেই আমগাছের দিকে তাকায়া আসিলাম,সেই আমগাছর মিক্কে সাই তাইক্কে,আমগাছের দিক চাইয়া এউক্কা মাইয়া কইলো
আমার বায়দি চাইয়া এক ফুরিয়ে কইলো,আর দিকে রেনি ওকগা মাইয়া কইলো,আমগাছের দিকে তাকায়া একটা মেয়ে কইল,আমগাছর মিক্কে এক্কান মাইয়া ফোয়া সাইয়েরে হইলো,মোর দিক চাইয়া এউক্কা মাইয়া কইলো
হক্কলে চাই রইলো,বেকে রেনি ছাইলো,আমার দিকে তাকায়া একটা মাইয়া কইল,আর মিক্কে সাইয়েরে এক্কান মাইয়াফোয়া হইলো,হগলডি চাইয়া দ্যাখলো
আমগাছ-ও যত মুকুল আইছে,আমগাছে হছুর মুকুল আইছে,সবাই তাকায়া দেখল,বেয়াক্কুন সাইয়েরে দেইক্কে,আমগাছে বেমালা বোল আইছে
